Year,home_team,away_team,home_score,away_score
2010,Egypt,Nigeria,3,1
2010,Argentina,Costa Rica,3,2
2010,Japan,Korea Republic,1,3
2010,Germany,Argentina,0,1
2010,Belgium,Croatia,0,1
2010,England,Egypt,3,1
2010,France,Spain,0,2
2010,Switzerland,Uruguay,1,3
2010,Mexico,Iceland,0,0
2010,Japan,Serbia,0,3
2010,Mexico,Senegal,1,0
2010,Japan,Korea Republic,0,2
2010,England,Mexico,3,1
2010,Nigeria,Saudi Arabia,0,0
2010,France,Costa Rica,2,1
2010,Denmark,Senegal,2,0
2010,Spain,Saudi Arabia,3,2
2010,Nigeria,Colombia,1,1
2010,Japan,England,1,2
2010,Tunisia,France,1,1
2010,Switzerland,Costa Rica,0,1
2010,Australia,Denmark,1,0
2010,Serbia,Poland,0,0
2010,Spain,Korea Republic,1,0
2010,Spain,Poland,6,0
2010,Uruguay,France,0,0
2010,Argentina,Nigeria,1,0
2010,Germany,Australia,4,0
2010,Spain,Switzerland,0,1
2010,Argentina,Korea Republic,4,1
2010,France,Mexico,0,2
2010,Germany,Serbia,0,1
2010,Nigeria,Korea Republic,2,2
2010,Mexico,Uruguay,0,1
2010,Australia,Serbia,2,1
2010,Denmark,Japan,1,3
2010,Portugal,Brazil,0,0
2010,Uruguay,Korea Republic,2,1
2010,Germany,England,4,1
2010,Argentina,Mexico,3,1
2010,Spain,Portugal,1,0
2010,Argentina,Germany,0,4
2010,Germany,Spain,0,1
2010,Uruguay,Germany,2,3
2010,Denmark,Germany,2,2
2010,Korea Republic,Nigeria,2,1
2010,Mexico,Spain,1,1
2010,Switzerland,Australia,0,0
2010,Panama,Costa Rica,2,2
2010,Belgium,Germany,0,1
2010,Poland,Australia,1,2
2010,Mexico,Colombia,1,0
2010,Switzerland,England,1,3
2010,Denmark,Iceland,1,0
2010,Korea Republic,Iran,0,1
2010,Argentina,Spain,4,1
2010,Iran,Brazil,0,3
2010,Japan,Argentina,1,0
2010,Peru,Costa Rica,2,0
2010,Portugal,Denmark,3,1
2010,Korea Republic,Japan,0,0
2010,Panama,Peru,1,0
2010,Iceland,Portugal,1,3
2010,Egypt,Australia,3,0
2010,Russia,Belgium,0,2
2010,Argentina,Brazil,1,0
2010,England,France,1,2
2010,Sweden,Germany,0,0
2010,Colombia,Peru,1,1
2010,Portugal,Spain,4,0
2011,Australia,Korea Republic,1,1
2011,Saudi Arabia,Japan,0,5
2011,Panama,Costa Rica,1,1
2011,Iran,Korea Republic,0,1
2011,Japan,Korea Republic,2,2
2011,Australia,Japan,0,1
