Name,ATT,MID,DEF,OVR,Year
Spain,86,85,84,85,2010
Argentina,85,81,80,83,2010
England,83,85,83,83,2010
Brazil,82,81,82,83,2010
France,83,83,80,82,2010
Germany,83,81,81,82,2010
Italy,79,81,79,82,2010
Holland,85,82,76,81,2010
Portugal,82,78,81,81,2010
Russia,82,77,78,79,2010
Uruguay,83,74,79,78,2010
Croatia,81,79,77,78,2010
Turkey,79,79,76,78,2010
Mexico,78,78,76,77,2010
Belgium,77,78,79,77,2010
Czech Republic,77,77,74,77,2010
Sweden,81,73,75,76,2010
Cameroon,78,78,75,76,2010
Ireland,77,74,75,76,2010
Switzerland,75,76,75,76,2010
Scotland,77,74,74,75,2010
Greece,76,78,74,75,2010
Denmark,75,73,75,75,2010
United States,72,77,74,75,2010
Norway,80,73,76,74,2010
Poland,78,74,67,74,2010
Australia,76,73,72,73,2010
Austria,73,69,73,73,2010
South Africa,74,71,70,72,2010
Bulgaria,73,73,70,72,2010
Hungary,72,75,67,72,2010
Ecuador,67,76,67,72,2010
Romania,67,72,73,72,2010
Finland,73,71,73,71,2010
Slovenia,73,71,71,71,2010
Northern Ireland,68,71,74,71,2010
Korea Republic,76,71,67,70,2010
China PR,59,64,65,65,2010
New Zealand,67,63,66,64,2010
Spain,88,87,84,86,2011
England,85,83,84,84,2011
Argentina,87,82,79,83,2011
Germany,86,84,82,83,2011
France,84,83,81,83,2011
Brazil,84,80,83,83,2011
Portugal,85,81,81,82,2011
Italy,84,82,81,82,2011
Netherlands,86,85,76,81,2011
Uruguay,84,75,77,79,2011
Russia,81,79,78,79,2011
Côte d'Ivoire,84,80,72,78,2011
Belgium,80,77,79,78,2011
Croatia,79,81,76,78,2011
Chile,82,79,71,77,2011
Sweden,88,76,73,76,2011
Cameroon,88,72,75,76,2011
Colombia,86,75,76,76,2011
Ireland,77,76,71,76,2011
Turkey,76,76,74,76,2011
Switzerland,73,77,76,76,2011
Mexico,82,75,75,75,2011
Denmark,79,75,74,75,2011
Norway,78,73,75,75,2011
Scotland,74,76,72,75,2011
Poland,77,74,70,74,2011
United States,74,76,70,74,2011
Greece,71,72,74,74,2011
Slovenia,77,76,72,73,2011
Austria,75,69,74,73,2011
Peru,68,69,66,72,2011
Korea Republic,77,70,67,71,2011
Australia,76,71,71,71,2011
Romania,73,70,74,71,2011
Northern Ireland,71,69,72,71,2011
South Africa,71,69,67,71,2011
Hungary,70,74,68,71,2011
Ecuador,76,76,66,70,2011
Finland,69,73,70,70,2011
Bulgaria,67,72,65,70,2011
Egypt,69,68,70,69,2011
New Zealand,68,61,69,66,2011
Spain,87,86,84,86,2012
Germany,84,83,82,84,2012
Italy,83,82,82,83,2012
Argentina,87,79,78,82,2012
France,84,81,81,82,2012
Brazil,83,79,83,82,2012
England,82,81,81,82,2012
Netherlands,84,81,74,81,2012
Portugal,83,81,80,81,2012
Belgium,79,79,79,80,2012
Russia,81,78,76,79,2012
Uruguay,81,75,78,79,2012
Côte d'Ivoire,79,75,75,78,2012
Colombia,80,77,75,77,2012
Switzerland,78,77,76,77,2012
Sweden,84,75,73,76,2012
Turkey,77,76,74,76,2012
Chile,76,78,70,76,2012
Cameroon,73,75,75,76,2012
Poland,77,74,75,75,2012
Denmark,77,74,74,75,2012
United States,77,73,73,75,2012
Mexico,76,74,75,75,2012
Czech Republic,73,75,75,75,2012
Paraguay,79,73,70,74,2012
Ireland,75,74,72,74,2012
Norway,74,73,75,74,2012
Greece,74,72,76,74,2012
Austria,73,74,74,74,2012
Scotland,73,73,73,74,2012
Peru,76,74,69,73,2012
Ecuador,76,73,67,72,2012
Venezuela,74,69,70,71,2012
Korea Republic,73,69,69,71,2012
Slovenia,71,70,71,71,2012
Hungary,71,70,69,71,2012
Australia,71,70,69,71,2012
Romania,71,69,68,70,2012
South Africa,68,72,68,70,2012
Finland,68,70,69,70,2012
Northern Ireland,68,68,70,70,2012
Bulgaria,71,64,68,69,2012
Egypt,62,66,67,67,2012
Bolivia,67,65,64,66,2012
New Zealand,66,58,65,65,2012
India,62,56,59,59,2012
Spain,84,86,82,85,2013
Germany,84,84,82,84,2013
Italy,80,83,81,83,2013
France,85,81,80,82,2013
Argentina,85,81,78,82,2013
Brazil,84,80,83,82,2013
England,84,80,81,81,2013
Netherlands,85,78,74,80,2013
Portugal,81,81,80,80,2013
Belgium,80,79,79,80,2013
Uruguay,84,76,78,79,2013
Colombia,81,76,76,78,2013
Turkey,77,77,75,77,2013
Russia,76,77,76,77,2013
Mexico,79,74,74,76,2013
Cameroon,76,72,76,76,2013
Switzerland,70,77,75,76,2013
Sweden,82,75,73,75,2013
Poland,80,74,73,75,2013
Côte d'Ivoire,80,74,72,75,2013
Chile,78,76,72,75,2013
Czech Republic,73,74,75,75,2013
Paraguay,78,73,70,74,2013
United States,75,77,69,74,2013
Ireland,75,74,73,74,2013
Greece,75,73,75,74,2013
Austria,74,75,74,74,2013
Denmark,71,73,74,74,2013
Wales,75,75,72,73,2013
Norway,75,72,74,73,2013
Scotland,74,72,70,73,2013
Peru,76,68,69,72,2013
Romania,72,71,70,72,2013
Slovenia,71,71,71,72,2013
Venezuela,72,69,72,71,2013
Australia,72,69,68,71,2013
Ecuador,71,73,66,71,2013
Northern Ireland,71,69,70,71,2013
South Africa,69,70,69,71,2013
Hungary,73,71,67,70,2013
Finland,67,71,69,70,2013
Bulgaria,69,67,68,69,2013
Korea Republic,68,66,66,68,2013
Egypt,66,67,68,68,2013
Bolivia,72,65,63,67,2013
New Zealand,65,57,65,65,2013
India,60,56,57,58,2013
Spain,86,84,82,84,2014
Brazil,83,81,83,83,2014
Germany,82,84,78,83,2014
Argentina,85,82,79,82,2014
France,82,80,80,81,2014
Belgium,75,81,79,81,2014
England,85,79,78,80,2014
Portugal,82,79,80,80,2014
Italy,79,78,78,80,2014
Netherlands,84,76,75,79,2014
Turkey,76,79,76,78,2014
Colombia,77,78,75,77,2014
Russia,76,75,75,77,2014
Uruguay,82,75,76,76,2014
Chile,77,75,70,76,2014
Côte d'Ivoire,77,74,74,76,2014
Switzerland,74,76,77,76,2014
Sweden,77,74,74,75,2014
Poland,77,73,74,75,2014
Cameroon,75,73,76,75,2014
Czech Republic,73,74,73,75,2014
Mexico,78,73,72,74,2014
Paraguay,78,73,70,74,2014
Greece,76,72,76,74,2014
Denmark,75,74,74,74,2014
United States,75,72,71,74,2014
Ireland,75,75,73,73,2014
Scotland,75,74,68,73,2014
Romania,73,72,71,73,2014
Austria,72,74,71,73,2014
Slovenia,71,73,71,73,2014
Wales,70,74,72,73,2014
Peru,77,69,70,72,2014
Korea Republic,75,71,69,72,2014
Ecuador,73,73,67,72,2014
Norway,71,73,70,72,2014
Venezuela,72,69,72,71,2014
Northern Ireland,71,69,69,70,2014
Australia,72,70,65,69,2014
Egypt,70,67,64,69,2014
Hungary,69,67,67,69,2014
Finland,68,71,69,69,2014
South Africa,65,69,69,69,2014
Bulgaria,66,69,67,68,2014
New Zealand,65,55,64,65,2014
Bolivia,68,57,63,63,2014
India,59,54,53,57,2014
Germany,82,82,78,84,2015
Spain,80,84,82,83,2015
Argentina,86,80,81,82,2015
Brazil,82,80,83,82,2015
Belgium,80,81,77,81,2015
France,80,80,80,81,2015
Portugal,83,80,75,80,2015
England,81,78,78,80,2015
Italy,79,79,77,79,2015
Netherlands,78,82,77,79,2015
Colombia,81,78,75,78,2015
Russia,78,77,75,77,2015
Switzerland,76,77,78,77,2015
Mexico,79,77,74,76,2015
Turkey,78,77,75,76,2015
Chile,76,76,73,76,2015
Uruguay,75,74,77,76,2015
Poland,78,72,74,75,2015
Sweden,80,75,72,74,2015
Côte d'Ivoire,78,75,68,74,2015
Greece,78,73,74,74,2015
Denmark,75,72,74,74,2015
Ireland,74,75,71,74,2015
Czech Republic,73,73,72,74,2015
Austria,71,74,74,74,2015
Scotland,76,72,70,73,2015
United States,76,70,72,73,2015
Wales,73,73,71,73,2015
Cameroon,75,71,74,72,2015
Slovenia,72,71,68,72,2015
Romania,71,72,70,72,2015
Paraguay,72,71,71,71,2015
Venezuela,72,70,72,71,2015
Peru,71,71,70,71,2015
Norway,69,72,70,71,2015
Hungary,70,71,67,70,2015
South Africa,68,71,66,70,2015
Korea Republic,66,70,67,70,2015
Ecuador,71,70,67,69,2015
Australia,71,70,66,69,2015
Northern Ireland,69,69,67,69,2015
Finland,69,68,68,69,2015
Egypt,72,68,65,68,2015
Bulgaria,67,70,66,68,2015
Bolivia,71,64,67,67,2015
New Zealand,65,60,65,65,2015
India,59,54,53,57,2015
Germany,82,82,78,84,2015
Spain,80,84,82,83,2015
Argentina,86,80,81,82,2015
Brazil,82,80,83,82,2015
Belgium,80,81,77,81,2015
France,80,80,80,81,2015
Portugal,83,80,75,80,2015
England,81,78,78,80,2015
Italy,79,79,77,79,2015
Netherlands,78,82,77,79,2015
